brand,screen_size,harddisk,cpu,OS,price,integer_ram
Asus,12.0,32.0,Media,Chrome OS,278.97,4.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Dell,15.6,512.0,Intel,Win,1576.57,16.0
Dell,16.0,512.0,Intel,Win,2549.0,32.0
Gigabyte,17.0,2.0,Intel,Win,3499.99,32.0
Hp,14.0,1000.0,Intel,Win,729.99,32.0
Lenovo,15.6,512.0,Intel,Win,934.0,8.0
Acer,15.6,64.0,1.2GHz Cortex A8 Processor,Chrome OS,129.99,4.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Lenovo,13.3,64.0,Others,Chrome OS,469.99,4.0
Acer,17.3,2.0,Intel,Win,1259.0,32.0
Asus,15.6,1.0,Intel,Win,2299.0,32.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Dell,14.0,1000.0,Intel,Win,2023.03,32.0
Corsair,16.0,2.0,Ryzen,Win,1699.99,32.0
Apple,13.3,256.0,Intel,Mac,1068.99,8.0
Asus,14.0,64.0,Celeron,Chrome OS,283.55,4.0
Panasonic,14.0,1.0,Intel,Win,658.94,16.0
Alienware,15.6,512.0,Intel,Win,1599.0,16.0
Dell,17.0,512.0,Intel,Win,2475.0,32.0
Rokc,15.6,1152.0,Pentium,Win,389.99,20.0
Hp,15.6,1000.0,Pentium,Win,459.99,16.0
Rokc,15.6,1000.0,Intel,Win,639.99,20.0
Asus,16.0,512.0,Ryzen,Win,699.99,8.0
Samsung,15.6,512.0,Intel,Win,1177.42,16.0
Hp,15.6,256.0,Ryzen,Win,346.9,8.0
Asus,14.0,512.0,Intel,Chrome OS,1211.99,16.0
Hp,15.6,256.0,Intel,Win,423.99,8.0
Msi,15.6,1.0,Intel,Win,1499.0,32.0
Acer,14.0,1.0,Intel,Win,1406.88,16.0
Dell,16.0,1000.0,Intel,Win,899.99,32.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Asus,15.6,512.0,Intel,Win,606.15,8.0
Msi,15.6,1.0,Intel,Win,1899.0,32.0
Dell,15.6,256.0,Intel,Win,1038.43,16.0
Lenovo,16.0,2.0,Intel,Win,1799.0,40.0
Lenovo,14.0,512.0,Intel,Win,922.55,8.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Apple,15.6,4.0,Intel,Mac,5299.0,96.0
Dell,13.3,512.0,Intel,Win,1507.9,32.0
Dell,15.6,512.0,Intel,Win,649.0,16.0
Asus,15.6,512.0,Intel,Win,940.47,8.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Awow,11.6,256.0,Celeron,Win,308.42,6.0
Asus,16.0,1.0,Intel,Win,1799.99,16.0
Apple,16.2,2.0,Apple M2 Max,Mac,4079.99,64.0
Msi,15.6,1.0,Ryzen,Win,799.0,16.0
Hp,14.0,512.0,Intel,Win,1681.99,16.0
Msi,16.0,1.0,Intel,Win,1743.0,32.0
Dell,16.0,1.0,Intel,Win,4762.76,64.0
Asus,10.5,65.0,Media,Chrome OS,349.95,4.0
Rokc,15.6,1152.0,Pentium,Win,389.99,20.0
Hp,15.6,1000.0,Pentium,Win,459.99,16.0
Rokc,15.6,1000.0,Intel,Win,639.99,20.0
Hp,14.0,256.0,Intel,Win,428.45,8.0
Samsung,14.0,32.0,Celeron,Chrome OS,349.99,8.0
Asus,15.6,512.0,Ryzen,Win,619.99,8.0
Dell,14.0,256.0,Intel,Win,691.53,16.0
Apple,13.6,1.0,Intel,Mac,2778.0,16.0
Dell,16.0,1000.0,Intel,Win,899.99,32.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Asus,14.0,2.0,Intel,Win,1947.99,32.0
Hp,14.0,64.0,Pentium,Chrome OS,259.95,4.0
Lenovo,13.3,32.0,Athlon,Chrome OS,245.0,4.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Gigabyte,15.6,1.0,Intel,Win,2099.99,16.0
Lenovo,14.0,1.0,Intel,Win,1199.99,16.0
Lenovo,15.6,512.0,Intel,Win,508.0,12.0
Dell,15.6,4.0,Intel,Win,2013.5,64.0
Microsoft,12.3,256.0,8032,Win,624.99,8.0
Dell,15.6,1.0,Intel,Win,1689.18,32.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Dell,14.0,512.0,Intel,Win,1029.99,16.0
Hp,14.0,128.0,Ryzen,Win,313.0,8.0
Asus,15.6,512.0,Ryzen,Win,699.99,8.0
Dell,16.0,512.0,Intel,Win,1161.11,16.0
Asus,15.6,128.0,Ryzen,Win,548.0,8.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Lenovo,15.6,256.0,Intel,Win,389.0,8.0
Lenovo,10.1,64.0,Media,Chrome OS,349.0,4.0
Asus,17.3,512.0,Ryzen,Win,999.99,8.0
Lg,14.0,1.0,Intel,Win,1303.76,16.0
Dell,15.6,512.0,Intel,Win,2387.94,32.0
